"Name","Company","State","City","Salary","Location","Url"
"Software Development Engineer I"," Subsplash  ","WA","Seattle","$65k-$81k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=318851&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c69e7ac9&cb=1534282513151&jobListingId=2850088776"
"Software Engineer, Backend"," Postmates Inc.  ","WA","Seattle","","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=272290&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7b2db633&cb=1534282513153&jobListingId=2296264403"
"Software Engineer, Ads Measurement"," Pinterest  ","WA","Seattle","$120k-$171k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=256901&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_564c6f2f&cb=1534282513154&jobListingId=2481050615"
"Software Engineer"," Versive  ","WA","Seattle","$91k-$131k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=295607&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ad118a60&cb=1534282513155&jobListingId=2540412405"
"Software Engineer"," Instructure  ","WA","Seattle","$91k-$131k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=268261&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7ff3e6bd&cb=1534282513156&jobListingId=2836679428"
"Software Engineer"," Tableau Software  ","WA","Kirkland","$97k-$139k","Kirkland, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=102898&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5bad3675&cb=1534282513157&jobListingId=2859647895"
"Software Development Engineer - Backend"," OfferUp  ","WA","Seattle","$93k-$119k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=364498&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a91034e5&cb=1534282513158&jobListingId=2865473931"
"Software Engineer"," Edifecs  ","WA","Bellevue","$68k-$101k","Bellevue, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=345541&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_19f93797&cb=1534282513159&jobListingId=2850253484"
"Technical Program Manager"," EnergySavvy  ","WA","Seattle","$83k-$117k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=353968&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b8718945&cb=1534282513160&jobListingId=2786961229"
"Software Data Engineer"," Postmates Inc.  ","WA","Seattle","$87k-$101k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=272289&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a0b0e4b4&cb=1534282513161&jobListingId=2296267552"
"Software Engineer"," Crane Aerospace & Electronics  ","WA","Lynnwood","$71k-$104k","Lynnwood, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=373046&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e2e94002&cb=1534282513162&jobListingId=2792107579"
"Software Engineer"," AdColony  ","WA","Bellevue","$97k-$142k","Bellevue, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=267968&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f9c4fff8&cb=1534282513163&jobListingId=2865431178"
"Site Reliability Engineer"," Booking.com  ","WA","Seattle","$77k-$115k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=318311&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_74ce25c9&cb=1534282513164&jobListingId=2587003468"
"Software Development Engineer - Cloud Platform"," Sonos  ","WA","Seattle","$112k-$142k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=372456&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_97b17824&cb=1534282513165&jobListingId=2331556987"
"Sr. Software Engineer"," Vizio Inc.  ","WA","Seattle","$98k-$141k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=315147&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b5a528af&cb=1534282513166&jobListingId=2863977734"
"Software Engineer, Tools and Performance"," ExtraHop Networks, Inc.  ","WA","Seattle","$92k-$132k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=268522&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_41ec5c58&cb=1534282513167&jobListingId=2871127210"
"Software Engineer - iOS"," Vizio Inc.  ","WA","Seattle","$90k-$131k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=315147&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_87714bba&cb=1534282513169&jobListingId=2887847286"
"Software Engineer / DevOps | Be our new code wrangler!"," ZIVELO  ","WA","Seattle","$84k-$122k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=359584&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_909932ac&cb=1534282513170&jobListingId=2888905356"
"FULL STACK SENIOR SOFTWARE ENGINEER, TEAM LEAD"," TwinStrand Biosciences  ","WA","Seattle","","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=386535&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_bacaa8b1&cb=1534282513171&jobListingId=2883226961"
"Software Engineer - Progress - REMOTE"," Quicken Loans  ","WA","Seattle","$76k-$113k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=349475&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b7969670&cb=1534282513172&jobListingId=2781569381"
"Sr. Software Engineer"," Centric Consulting  ","WA","Seattle","$108k-$155k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=356168&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4223768b&cb=1534282513173&jobListingId=2856389234"
"Senior Software Engineer"," Versive  ","WA","Seattle","$109k-$156k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=295607&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_eb05f46c&cb=1534282513174&jobListingId=2441194242"
"Construction Project Engineer"," Ferguson Construction  ","WA","Bellevue","","Bellevue, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=377201&s=58&guid=000001653a5d38c0941ac7c554ed903f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b323c7c8&cb=1534282513176&jobListingId=2843867277"
